date,time,trip_id,line_id,route_id,route_pattern_id,route_name,route_pattern_name,service_id,service_typicality,direction,from_station,to_station
2019-10-03,06:24:00,CR-Weekday-Spring-19-751,line-Fairmount,CR-Fairmount,CR-Fairmount-0-0,Fairmount Line,South Station - Readville via Fairmount,CR-Wdy-Fairmount-Spr-19,1,0,South Station,Readville
2019-10-03,06:25:00,CR-Weekday-Spring-19-750,line-Fairmount,CR-Fairmount,CR-Fairmount-0-1,Fairmount Line,Readville - South Station via Fairmount,CR-Wdy-Fairmount-Spr-19,1,1,Readville,South Station
2019-10-03,07:10:00,CR-Weekday-Spring-19-753,line-Fairmount,CR-Fairmount,CR-Fairmount-0-0,Fairmount Line,South Station - Readville via Fairmount,CR-Wdy-Fairmount-Spr-19,1,0,South Station,Readville
2019-10-03,07:15:00,CR-Weekday-Spring-19-752,line-Fairmount,CR-Fairmount,CR-Fairmount-0-1,Fairmount Line,Readville - South Station via Fairmount,CR-Wdy-Fairmount-Spr-19,1,1,Readville,South Station
2019-10-03,07:55:00,CR-Weekday-Spring-19-754,line-Fairmount,CR-Fairmount,CR-Fairmount-0-1,Fairmount Line,Readville - South Station via Fairmount,CR-Wdy-Fairmount-Spr-19,1,1,Readville,South Station
2019-10-03,08:00:00,CR-Weekday-Spring-19-755,line-Fairmount,CR-Fairmount,CR-Fairmount-0-0,Fairmount Line,South Station - Readville via Fairmount,CR-Wdy-Fairmount-Spr-19,1,0,South Station,Readville
2019-10-03,08:40:00,CR-Weekday-Spring-19-757,line-Fairmount,CR-Fairmount,CR-Fairmount-0-0,Fairmount Line,South Station - Readville via Fairmount,CR-Wdy-Fairmount-Spr-19,1,0,South Station,Readville
2019-10-03,08:45:00,CR-Weekday-Spring-19-756,line-Fairmount,CR-Fairmount,CR-Fairmount-0-1,Fairmount Line,Readville - South Station via Fairmount,CR-Wdy-Fairmount-Spr-19,1,1,Readville,South Station
2019-10-03,09:45:00,CR-Weekday-Spring-19-759,line-Fairmount,CR-Fairmount,CR-Fairmount-0-0,Fairmount Line,South Station - Readville via Fairmount,CR-Wdy-Fairmount-Spr-19,1,0,South Station,Readville
2019-10-03,10:00:00,CR-Weekday-Spring-19-758,line-Fairmount,CR-Fairmount,CR-Fairmount-0-1,Fairmount Line,Readville - South Station via Fairmount,CR-Wdy-Fairmount-Spr-19,1,1,Readville,South Station
