date,time,trip_id,line_id,route_id,route_pattern_id,route_name,route_pattern_name,service_id,service_typicality,direction,from_station,to_station
2019-10-03,04:50:00,CR-Weekday-Spring-19-400,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-1,Fitchburg Line,Wachusett - North Station,CR-Wdy-Fitchburg-Spr-19,1,1,Wachusett,North Station
2019-10-03,05:45:00,CR-Weekday-Spring-19-402,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-1,Fitchburg Line,Wachusett - North Station,CR-Wdy-Fitchburg-Spr-19,1,1,Wachusett,North Station
2019-10-03,06:20:00,CR-Weekday-Spring-19-404,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-1,Fitchburg Line,Wachusett - North Station,CR-Wdy-Fitchburg-Spr-19,1,1,Wachusett,North Station
2019-10-03,06:35:00,CR-Weekday-Spring-19-401,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-0,Fitchburg Line,North Station - Wachusett,CR-Wdy-Fitchburg-Spr-19,1,0,North Station,Wachusett
2019-10-03,06:40:00,CR-Weekday-Spring-19-406,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-1,Fitchburg Line,Wachusett - North Station,CR-Wdy-Fitchburg-Spr-19,1,1,Wachusett,North Station
2019-10-03,06:45:00,CR-Weekday-Spring-19-491,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-0,Fitchburg Line,North Station - Wachusett,CR-Wdy-Fitchburg-Spr-19,1,0,North Station,Littleton/Rte 495
2019-10-03,07:10:00,CR-Weekday-Spring-19-408,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-1,Fitchburg Line,Wachusett - North Station,CR-Wdy-Fitchburg-Spr-19,1,1,Wachusett,North Station
2019-10-03,07:43:00,CR-Weekday-Spring-19-403,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-0,Fitchburg Line,North Station - Wachusett,CR-Wdy-Fitchburg-Spr-19,1,0,North Station,Wachusett
2019-10-03,07:55:00,CR-Weekday-Spring-19-492,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-1,Fitchburg Line,Wachusett - North Station,CR-Wdy-Fitchburg-Spr-19,1,1,Littleton/Rte 495,North Station
2019-10-03,08:10:00,CR-Weekday-Spring-19-410,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-1,Fitchburg Line,Wachusett - North Station,CR-Wdy-Fitchburg-Spr-19,1,1,Wachusett,North Station
2019-10-03,08:45:00,CR-Weekday-Spring-19-405,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-0,Fitchburg Line,North Station - Wachusett,CR-Wdy-Fitchburg-Spr-19,1,0,North Station,Wachusett
2019-10-03,09:37:00,CR-Weekday-Spring-19-412,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-1,Fitchburg Line,Wachusett - North Station,CR-Wdy-Fitchburg-Spr-19,1,1,Wachusett,North Station
2019-10-03,10:00:00,CR-Weekday-Spring-19-407,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-0,Fitchburg Line,North Station - Wachusett,CR-Wdy-Fitchburg-Spr-19,1,0,North Station,Wachusett
2019-10-03,10:50:00,CR-Weekday-Spring-19-414,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-1,Fitchburg Line,Wachusett - North Station,CR-Wdy-Fitchburg-Spr-19,1,1,Wachusett,North Station
2019-10-03,11:15:00,CR-Weekday-Spring-19-409,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-0,Fitchburg Line,North Station - Wachusett,CR-Wdy-Fitchburg-Spr-19,1,0,North Station,Wachusett
2019-10-03,12:05:00,CR-Weekday-Spring-19-416,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-1,Fitchburg Line,Wachusett - North Station,CR-Wdy-Fitchburg-Spr-19,1,1,Wachusett,North Station
2019-10-03,12:45:00,CR-Weekday-Spring-19-411,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-0,Fitchburg Line,North Station - Wachusett,CR-Wdy-Fitchburg-Spr-19,1,0,North Station,Wachusett
2019-10-03,13:30:00,CR-Weekday-Spring-19-418,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-1,Fitchburg Line,Wachusett - North Station,CR-Wdy-Fitchburg-Spr-19,1,1,Wachusett,North Station
2019-10-03,13:55:00,CR-Weekday-Spring-19-413,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-0,Fitchburg Line,North Station - Wachusett,CR-Wdy-Fitchburg-Spr-19,1,0,North Station,Wachusett
2019-10-03,14:50:00,CR-Weekday-Spring-19-420,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-1,Fitchburg Line,Wachusett - North Station,CR-Wdy-Fitchburg-Spr-19,1,1,Wachusett,North Station
2019-10-03,15:30:00,CR-Weekday-Spring-19-415,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-0,Fitchburg Line,North Station - Wachusett,CR-Wdy-Fitchburg-Spr-19,1,0,North Station,Wachusett
2019-10-03,15:59:00,CR-Weekday-Spring-19-493,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-0,Fitchburg Line,North Station - Wachusett,CR-Wdy-Fitchburg-Spr-19,1,0,North Station,Littleton/Rte 495
2019-10-03,16:05:00,CR-Weekday-Spring-19-422,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-1,Fitchburg Line,Wachusett - North Station,CR-Wdy-Fitchburg-Spr-19,1,1,Wachusett,North Station
2019-10-03,16:30:00,CR-Weekday-Spring-19-417,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-0,Fitchburg Line,North Station - Wachusett,CR-Wdy-Fitchburg-Spr-19,1,0,North Station,Wachusett
2019-10-03,17:05:00,CR-Weekday-Spring-19-419,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-0,Fitchburg Line,North Station - Wachusett,CR-Wdy-Fitchburg-Spr-19,1,0,North Station,Wachusett
2019-10-03,17:15:00,CR-Weekday-Spring-19-494,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-1,Fitchburg Line,Wachusett - North Station,CR-Wdy-Fitchburg-Spr-19,1,1,Littleton/Rte 495,North Station
2019-10-03,17:35:00,CR-Weekday-Spring-19-421,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-0,Fitchburg Line,North Station - Wachusett,CR-Wdy-Fitchburg-Spr-19,1,0,North Station,Wachusett
2019-10-03,17:43:00,CR-Weekday-Spring-19-424,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-1,Fitchburg Line,Wachusett - North Station,CR-Wdy-Fitchburg-Spr-19,1,1,Wachusett,North Station
2019-10-03,17:55:00,CR-Weekday-Spring-19-423,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-0,Fitchburg Line,North Station - Wachusett,CR-Wdy-Fitchburg-Spr-19,1,0,North Station,Wachusett
2019-10-03,18:25:00,CR-Weekday-Spring-19-425,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-0,Fitchburg Line,North Station - Wachusett,CR-Wdy-Fitchburg-Spr-19,1,0,North Station,Wachusett
2019-10-03,19:03:00,CR-Weekday-Spring-19-426,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-1,Fitchburg Line,Wachusett - North Station,CR-Wdy-Fitchburg-Spr-19,1,1,Wachusett,North Station
2019-10-03,19:15:00,CR-Weekday-Spring-19-427,line-Fitchburg,CR-Fitchburg,CR-Fitchburg-0-0,Fitchburg Line,North Station - Wachusett,CR-Wdy-Fitchburg-Spr-19,1,0,North Station,Wachusett
