date,time,trip_id,line_id,route_id,route_pattern_id,route_name,route_pattern_name,service_id,service_typicality,direction,from_station,to_station
2019-10-03,03:50:00,CR-Weekday-Spring-19-701,line-Franklin,CR-Franklin,CR-Franklin-0-0,Franklin Line,South Station - Forge Park/495 via Back Bay,CR-Wdy-Franklin-Spr-19,1,0,South Station,Forge Park/495
2019-10-03,04:55:00,CR-Weekday-Spring-19-790,line-Franklin,CR-Franklin,CR-Franklin-1-1,Franklin Line,Forge Park/495 - South Station via Fairmount,CR-Wdy-Franklin-Spr-19,1,1,Forge Park/495,South Station
2019-10-03,05:30:00,CR-Weekday-Spring-19-700,line-Franklin,CR-Franklin,CR-Franklin-0-1,Franklin Line,Forge Park/495 - South Station via Back Bay,CR-Wdy-Franklin-Spr-19,1,1,Forge Park/495,South Station
2019-10-03,06:03:00,CR-Weekday-Spring-19-702,line-Franklin,CR-Franklin,CR-Franklin-0-1,Franklin Line,Forge Park/495 - South Station via Back Bay,CR-Wdy-Franklin-Spr-19,1,1,Forge Park/495,South Station
2019-10-03,06:35:00,CR-Weekday-Spring-19-704,line-Franklin,CR-Franklin,CR-Franklin-0-1,Franklin Line,Forge Park/495 - South Station via Back Bay,CR-Wdy-Franklin-Spr-19,1,1,Forge Park/495,South Station
2019-10-03,06:40:00,CR-Weekday-Spring-19-741,line-Franklin,CR-Franklin,CR-Franklin-0-0,Franklin Line,South Station - Forge Park/495 via Back Bay,CR-Wdy-Franklin-Spr-19,1,0,South Station,Walpole
2019-10-03,07:06:00,CR-Weekday-Spring-19-706,line-Franklin,CR-Franklin,CR-Franklin-0-1,Franklin Line,Forge Park/495 - South Station via Back Bay,CR-Wdy-Franklin-Spr-19,1,1,Forge Park/495,South Station
2019-10-03,07:38:00,CR-Weekday-Spring-19-740,line-Franklin,CR-Franklin,CR-Franklin-0-1,Franklin Line,Forge Park/495 - South Station via Back Bay,CR-Wdy-Franklin-Spr-19,1,1,Walpole,South Station
2019-10-03,07:50:00,CR-Weekday-Spring-19-708,line-Franklin,CR-Franklin,CR-Franklin-0-1,Franklin Line,Forge Park/495 - South Station via Back Bay,CR-Wdy-Franklin-Spr-19,1,1,Forge Park/495,South Station
2019-10-03,08:04:00,CR-Weekday-Spring-19-703,line-Franklin,CR-Franklin,CR-Franklin-0-0,Franklin Line,South Station - Forge Park/495 via Back Bay,CR-Wdy-Franklin-Spr-19,1,0,South Station,Forge Park/495
2019-10-03,08:33:00,CR-Weekday-Spring-19-742,line-Franklin,CR-Franklin,CR-Franklin-0-1,Franklin Line,Forge Park/495 - South Station via Back Bay,CR-Wdy-Franklin-Spr-19,1,1,Norwood Central,South Station
2019-10-03,09:22:00,CR-Weekday-Spring-19-710,line-Franklin,CR-Franklin,CR-Franklin-0-1,Franklin Line,Forge Park/495 - South Station via Back Bay,CR-Wdy-Franklin-Spr-19,1,1,Forge Park/495,South Station
2019-10-03,09:40:00,CR-Weekday-Spring-19-705,line-Franklin,CR-Franklin,CR-Franklin-0-0,Franklin Line,South Station - Forge Park/495 via Back Bay,CR-Wdy-Franklin-Spr-19,1,0,South Station,Forge Park/495
2019-10-03,10:55:00,CR-Weekday-Spring-19-712,line-Franklin,CR-Franklin,CR-Franklin-0-1,Franklin Line,Forge Park/495 - South Station via Back Bay,CR-Wdy-Franklin-Spr-19,1,1,Forge Park/495,South Station
2019-10-03,11:00:00,CR-Weekday-Spring-19-707,line-Franklin,CR-Franklin,CR-Franklin-0-0,Franklin Line,South Station - Forge Park/495 via Back Bay,CR-Wdy-Franklin-Spr-19,1,0,South Station,Forge Park/495
2019-10-03,12:20:00,CR-Weekday-Spring-19-709,line-Franklin,CR-Franklin,CR-Franklin-0-0,Franklin Line,South Station - Forge Park/495 via Back Bay,CR-Wdy-Franklin-Spr-19,1,0,South Station,Forge Park/495
2019-10-03,12:20:00,CR-Weekday-Spring-19-714,line-Franklin,CR-Franklin,CR-Franklin-0-1,Franklin Line,Forge Park/495 - South Station via Back Bay,CR-Wdy-Franklin-Spr-19,1,1,Forge Park/495,South Station
2019-10-03,13:35:00,CR-Weekday-Spring-19-711,line-Franklin,CR-Franklin,CR-Franklin-0-0,Franklin Line,South Station - Forge Park/495 via Back Bay,CR-Wdy-Franklin-Spr-19,1,0,South Station,Forge Park/495
2019-10-03,13:35:00,CR-Weekday-Spring-19-716,line-Franklin,CR-Franklin,CR-Franklin-0-1,Franklin Line,Forge Park/495 - South Station via Back Bay,CR-Wdy-Franklin-Spr-19,1,1,Forge Park/495,South Station
2019-10-03,14:40:00,CR-Weekday-Spring-19-713,line-Franklin,CR-Franklin,CR-Franklin-0-0,Franklin Line,South Station - Forge Park/495 via Back Bay,CR-Wdy-Franklin-Spr-19,1,0,South Station,Forge Park/495
2019-10-03,14:57:00,CR-Weekday-Spring-19-718,line-Franklin,CR-Franklin,CR-Franklin-0-1,Franklin Line,Forge Park/495 - South Station via Back Bay,CR-Wdy-Franklin-Spr-19,1,1,Forge Park/495,South Station
2019-10-03,15:48:00,CR-Weekday-Spring-19-715,line-Franklin,CR-Franklin,CR-Franklin-0-0,Franklin Line,South Station - Forge Park/495 via Back Bay,CR-Wdy-Franklin-Spr-19,1,0,South Station,Forge Park/495
2019-10-03,16:01:00,CR-Weekday-Spring-19-720,line-Franklin,CR-Franklin,CR-Franklin-0-1,Franklin Line,Forge Park/495 - South Station via Back Bay,CR-Wdy-Franklin-Spr-19,1,1,Forge Park/495,South Station
2019-10-03,16:15:00,CR-Weekday-Spring-19-743,line-Franklin,CR-Franklin,CR-Franklin-0-0,Franklin Line,South Station - Forge Park/495 via Back Bay,CR-Wdy-Franklin-Spr-19,1,0,South Station,Norwood Central
2019-10-03,16:43:00,CR-Weekday-Spring-19-717,line-Franklin,CR-Franklin,CR-Franklin-0-0,Franklin Line,South Station - Forge Park/495 via Back Bay,CR-Wdy-Franklin-Spr-19,1,0,South Station,Forge Park/495
2019-10-03,17:02:00,CR-Weekday-Spring-19-745,line-Franklin,CR-Franklin,CR-Franklin-0-0,Franklin Line,South Station - Forge Park/495 via Back Bay,CR-Wdy-Franklin-Spr-19,1,0,South Station,Walpole
2019-10-03,17:03:00,CR-Weekday-Spring-19-722,line-Franklin,CR-Franklin,CR-Franklin-0-1,Franklin Line,Forge Park/495 - South Station via Back Bay,CR-Wdy-Franklin-Spr-19,1,1,Forge Park/495,South Station
2019-10-03,17:20:00,CR-Weekday-Spring-19-719,line-Franklin,CR-Franklin,CR-Franklin-0-0,Franklin Line,South Station - Forge Park/495 via Back Bay,CR-Wdy-Franklin-Spr-19,1,0,South Station,Forge Park/495
2019-10-03,17:45:00,CR-Weekday-Spring-19-721,line-Franklin,CR-Franklin,CR-Franklin-0-0,Franklin Line,South Station - Forge Park/495 via Back Bay,CR-Wdy-Franklin-Spr-19,1,0,South Station,Forge Park/495
2019-10-03,18:20:00,CR-Weekday-Spring-19-723,line-Franklin,CR-Franklin,CR-Franklin-0-0,Franklin Line,South Station - Forge Park/495 via Back Bay,CR-Wdy-Franklin-Spr-19,1,0,South Station,Forge Park/495
2019-10-03,18:37:00,CR-Weekday-Spring-19-746,line-Franklin,CR-Franklin,CR-Franklin-0-1,Franklin Line,Forge Park/495 - South Station via Back Bay,CR-Wdy-Franklin-Spr-19,1,1,Walpole,South Station
2019-10-03,19:05:00,CR-Weekday-Spring-19-724,line-Franklin,CR-Franklin,CR-Franklin-0-1,Franklin Line,Forge Park/495 - South Station via Back Bay,CR-Wdy-Franklin-Spr-19,1,1,Forge Park/495,South Station
2019-10-03,19:43:00,CR-Weekday-Spring-19-726,line-Franklin,CR-Franklin,CR-Franklin-0-1,Franklin Line,Forge Park/495 - South Station via Back Bay,CR-Wdy-Franklin-Spr-19,1,1,Forge Park/495,South Station
2019-10-03,19:45:00,CR-Weekday-Spring-19-725,line-Franklin,CR-Franklin,CR-Franklin-0-0,Franklin Line,South Station - Forge Park/495 via Back Bay,CR-Wdy-Franklin-Spr-19,1,0,South Station,Forge Park/495
2019-10-03,21:00:00,CR-Weekday-Spring-19-727,line-Franklin,CR-Franklin,CR-Franklin-0-0,Franklin Line,South Station - Forge Park/495 via Back Bay,CR-Wdy-Franklin-Spr-19,1,0,South Station,Forge Park/495
2019-10-03,21:01:00,CR-Weekday-Spring-19-728,line-Franklin,CR-Franklin,CR-Franklin-0-1,Franklin Line,Forge Park/495 - South Station via Back Bay,CR-Wdy-Franklin-Spr-19,1,1,Forge Park/495,South Station
2019-10-03,22:25:00,CR-Weekday-Spring-19-730,line-Franklin,CR-Franklin,CR-Franklin-0-1,Franklin Line,Forge Park/495 - South Station via Back Bay,CR-Wdy-Franklin-Spr-19,1,1,Forge Park/495,South Station
2019-10-03,22:30:00,CR-Weekday-Spring-19-729,line-Franklin,CR-Franklin,CR-Franklin-0-0,Franklin Line,South Station - Forge Park/495 via Back Bay,CR-Wdy-Franklin-Spr-19,1,0,South Station,Forge Park/495
