date,time,trip_id,line_id,route_id,route_pattern_id,route_name,route_pattern_name,service_id,service_typicality,direction,from_station,to_station
2019-10-03,05:40:00,CR-Weekday-Spring-19-070,line-Greenbush,CR-Greenbush,CR-Greenbush-0-1,Greenbush Line,Greenbush - South Station,CR-Wdy-Greenbush-Spr-19,1,1,Greenbush,South Station
2019-10-03,06:37:00,CR-Weekday-Spring-19-072,line-Greenbush,CR-Greenbush,CR-Greenbush-0-1,Greenbush Line,Greenbush - South Station,CR-Wdy-Greenbush-Spr-19,1,1,Greenbush,South Station
2019-10-03,06:54:00,CR-Weekday-Spring-19-071,line-Greenbush,CR-Greenbush,CR-Greenbush-0-0,Greenbush Line,South Station - Greenbush,CR-Wdy-Greenbush-Spr-19,1,0,South Station,Greenbush
2019-10-03,07:03:00,CR-Weekday-Spring-19-074,line-Greenbush,CR-Greenbush,CR-Greenbush-0-1,Greenbush Line,Greenbush - South Station,CR-Wdy-Greenbush-Spr-19,1,1,Greenbush,South Station
2019-10-03,07:50:00,CR-Weekday-Spring-19-076,line-Greenbush,CR-Greenbush,CR-Greenbush-0-1,Greenbush Line,Greenbush - South Station,CR-Wdy-Greenbush-Spr-19,1,1,Greenbush,South Station
2019-10-03,08:50:00,CR-Weekday-Spring-19-078,line-Greenbush,CR-Greenbush,CR-Greenbush-0-1,Greenbush Line,Greenbush - South Station,CR-Wdy-Greenbush-Spr-19,1,1,Greenbush,South Station
2019-10-03,09:25:00,CR-Weekday-Spring-19-073,line-Greenbush,CR-Greenbush,CR-Greenbush-0-0,Greenbush Line,South Station - Greenbush,CR-Wdy-Greenbush-Spr-19,1,0,South Station,Greenbush
2019-10-03,10:30:00,CR-Weekday-Spring-19-075,line-Greenbush,CR-Greenbush,CR-Greenbush-0-0,Greenbush Line,South Station - Greenbush,CR-Wdy-Greenbush-Spr-19,1,0,South Station,Greenbush
2019-10-03,10:35:00,CR-Weekday-Spring-19-080,line-Greenbush,CR-Greenbush,CR-Greenbush-0-1,Greenbush Line,Greenbush - South Station,CR-Wdy-Greenbush-Spr-19,1,1,Greenbush,South Station
2019-10-03,11:50:00,CR-Weekday-Spring-19-082,line-Greenbush,CR-Greenbush,CR-Greenbush-0-1,Greenbush Line,Greenbush - South Station,CR-Wdy-Greenbush-Spr-19,1,1,Greenbush,South Station
2019-10-03,12:41:00,CR-Weekday-Spring-19-077,line-Greenbush,CR-Greenbush,CR-Greenbush-0-0,Greenbush Line,South Station - Greenbush,CR-Wdy-Greenbush-Spr-19,1,0,South Station,Greenbush
2019-10-03,14:11:00,CR-Weekday-Spring-19-084,line-Greenbush,CR-Greenbush,CR-Greenbush-0-1,Greenbush Line,Greenbush - South Station,CR-Wdy-Greenbush-Spr-19,1,1,Greenbush,South Station
2019-10-03,14:27:00,CR-Weekday-Spring-19-079,line-Greenbush,CR-Greenbush,CR-Greenbush-0-0,Greenbush Line,South Station - Greenbush,CR-Wdy-Greenbush-Spr-19,1,0,South Station,Greenbush
2019-10-03,15:47:00,CR-Weekday-Spring-19-086,line-Greenbush,CR-Greenbush,CR-Greenbush-0-1,Greenbush Line,Greenbush - South Station,CR-Wdy-Greenbush-Spr-19,1,1,Greenbush,South Station
2019-10-03,16:02:00,CR-Weekday-Spring-19-081,line-Greenbush,CR-Greenbush,CR-Greenbush-0-0,Greenbush Line,South Station - Greenbush,CR-Wdy-Greenbush-Spr-19,1,0,South Station,Greenbush
2019-10-03,16:52:00,CR-Weekday-Spring-19-083,line-Greenbush,CR-Greenbush,CR-Greenbush-0-0,Greenbush Line,South Station - Greenbush,CR-Wdy-Greenbush-Spr-19,1,0,South Station,Greenbush
2019-10-03,17:19:00,CR-Weekday-Spring-19-085,line-Greenbush,CR-Greenbush,CR-Greenbush-0-0,Greenbush Line,South Station - Greenbush,CR-Wdy-Greenbush-Spr-19,1,0,South Station,Greenbush
2019-10-03,17:20:00,CR-Weekday-Spring-19-088,line-Greenbush,CR-Greenbush,CR-Greenbush-0-1,Greenbush Line,Greenbush - South Station,CR-Wdy-Greenbush-Spr-19,1,1,Greenbush,South Station
2019-10-03,17:45:00,CR-Weekday-Spring-19-087,line-Greenbush,CR-Greenbush,CR-Greenbush-0-0,Greenbush Line,South Station - Greenbush,CR-Wdy-Greenbush-Spr-19,1,0,South Station,Greenbush
2019-10-03,18:38:00,CR-Weekday-Spring-19-089,line-Greenbush,CR-Greenbush,CR-Greenbush-0-0,Greenbush Line,South Station - Greenbush,CR-Wdy-Greenbush-Spr-19,1,0,South Station,Greenbush
