date,time,trip_id,line_id,route_id,route_pattern_id,route_name,route_pattern_name,service_id,service_typicality,direction,from_station,to_station
2019-10-03,05:05:00,CR-Weekday-Spring-19-200-BallardvaleMaldenCenter,line-Haverhill,CR-Haverhill,CR-Haverhill-0-1,Haverhill Line,Haverhill - North Station via Reading,CR-Wdy-Haverhill-Spr-19-BllMlnCnr,4,1,Haverhill,North Station
2019-10-03,05:40:00,CR-Weekday-Spring-19-202-BallardvaleMaldenCenter,line-Haverhill,CR-Haverhill,CR-Haverhill-0-1,Haverhill Line,Haverhill - North Station via Reading,CR-Wdy-Haverhill-Spr-19-BllMlnCnr,4,1,Haverhill,North Station
2019-10-03,06:10:00,CR-Weekday-Spring-19-204-BallardvaleMaldenCenter,line-Haverhill,CR-Haverhill,CR-Haverhill-0-1,Haverhill Line,Haverhill - North Station via Reading,CR-Wdy-Haverhill-Spr-19-BllMlnCnr,4,1,Haverhill,North Station
2019-10-03,06:40:00,CR-Weekday-Spring-19-206-BallardvaleMaldenCenter,line-Haverhill,CR-Haverhill,CR-Haverhill-1-1,Haverhill Line,Haverhill - North Station via Anderson/Woburn,CR-Wdy-Haverhill-Spr-19-BllMlnCnr,4,1,Haverhill,North Station
2019-10-03,06:43:00,CR-Weekday-Spring-19-285-BallardvaleMaldenCenter,line-Haverhill,CR-Haverhill,CR-Haverhill-0-0,Haverhill Line,North Station - Haverhill via Reading,CR-Wdy-Haverhill-Spr-19-BllMlnCnr,4,0,North Station,Reading
2019-10-03,07:10:00,CR-Weekday-Spring-19-287-BallardvaleMaldenCenter,line-Haverhill,CR-Haverhill,CR-Haverhill-0-0,Haverhill Line,North Station - Haverhill via Reading,CR-Wdy-Haverhill-Spr-19-BllMlnCnr,4,0,North Station,Reading
2019-10-03,07:30:00,CR-Weekday-Spring-19-286-BallardvaleMaldenCenter,line-Haverhill,CR-Haverhill,CR-Haverhill-0-1,Haverhill Line,Haverhill - North Station via Reading,CR-Wdy-Haverhill-Spr-19-BllMlnCnr,4,1,Reading,North Station
2019-10-03,07:35:00,CR-Weekday-Spring-19-201-BallardvaleMaldenCenter,line-Haverhill,CR-Haverhill,CR-Haverhill-0-0,Haverhill Line,North Station - Haverhill via Reading,CR-Wdy-Haverhill-Spr-19-BllMlnCnr,4,0,North Station,Haverhill
2019-10-03,07:35:00,CR-Weekday-Spring-19-208-BallardvaleMaldenCenter,line-Haverhill,CR-Haverhill,CR-Haverhill-1-1,Haverhill Line,Haverhill - North Station via Anderson/Woburn,CR-Wdy-Haverhill-Spr-19-BllMlnCnr,4,1,Haverhill,North Station
2019-10-03,07:55:00,CR-Weekday-Spring-19-289-BallardvaleMaldenCenter,line-Haverhill,CR-Haverhill,CR-Haverhill-0-0,Haverhill Line,North Station - Haverhill via Reading,CR-Wdy-Haverhill-Spr-19-BllMlnCnr,4,0,North Station,Reading
2019-10-03,08:00:00,CR-Weekday-Spring-19-288-BallardvaleMaldenCenter,line-Haverhill,CR-Haverhill,CR-Haverhill-0-1,Haverhill Line,Haverhill - North Station via Reading,CR-Wdy-Haverhill-Spr-19-BllMlnCnr,4,1,Reading,North Station
2019-10-03,08:30:00,CR-Weekday-Spring-19-290-BallardvaleMaldenCenter,line-Haverhill,CR-Haverhill,CR-Haverhill-0-1,Haverhill Line,Haverhill - North Station via Reading,CR-Wdy-Haverhill-Spr-19-BllMlnCnr,4,1,Reading,North Station
2019-10-03,09:05:00,CR-Weekday-Spring-19-210-BallardvaleMaldenCenter,line-Haverhill,CR-Haverhill,CR-Haverhill-1-1,Haverhill Line,Haverhill - North Station via Anderson/Woburn,CR-Wdy-Haverhill-Spr-19-BllMlnCnr,4,1,Haverhill,North Station
2019-10-03,09:20:00,CR-Weekday-Spring-19-203-BallardvaleMaldenCenter,line-Haverhill,CR-Haverhill,CR-Haverhill-1-0,Haverhill Line,North Station - Haverhill via Anderson/Woburn,CR-Wdy-Haverhill-Spr-19-BllMlnCnr,4,0,North Station,Haverhill
2019-10-03,10:30:00,CR-Weekday-Spring-19-205-BallardvaleMaldenCenter,line-Haverhill,CR-Haverhill,CR-Haverhill-1-0,Haverhill Line,North Station - Haverhill via Anderson/Woburn,CR-Wdy-Haverhill-Spr-19-BllMlnCnr,4,0,North Station,Haverhill
2019-10-03,10:49:00,CR-Weekday-Spring-19-212-BallardvaleMaldenCenter,line-Haverhill,CR-Haverhill,CR-Haverhill-1-1,Haverhill Line,Haverhill - North Station via Anderson/Woburn,CR-Wdy-Haverhill-Spr-19-BllMlnCnr,4,1,Haverhill,North Station
2019-10-03,12:05:00,CR-Weekday-Spring-19-214-BallardvaleMaldenCenter,line-Haverhill,CR-Haverhill,CR-Haverhill-1-1,Haverhill Line,Haverhill - North Station via Anderson/Woburn,CR-Wdy-Haverhill-Spr-19-BllMlnCnr,4,1,Haverhill,North Station
2019-10-03,12:20:00,CR-Weekday-Spring-19-207-BallardvaleMaldenCenter,line-Haverhill,CR-Haverhill,CR-Haverhill-1-0,Haverhill Line,North Station - Haverhill via Anderson/Woburn,CR-Wdy-Haverhill-Spr-19-BllMlnCnr,4,0,North Station,Haverhill
2019-10-03,13:44:00,CR-Weekday-Spring-19-209-BallardvaleMaldenCenter,line-Haverhill,CR-Haverhill,CR-Haverhill-1-0,Haverhill Line,North Station - Haverhill via Anderson/Woburn,CR-Wdy-Haverhill-Spr-19-BllMlnCnr,4,0,North Station,Haverhill
2019-10-03,14:00:00,CR-Weekday-Spring-19-216-BallardvaleMaldenCenter,line-Haverhill,CR-Haverhill,CR-Haverhill-1-1,Haverhill Line,Haverhill - North Station via Anderson/Woburn,CR-Wdy-Haverhill-Spr-19-BllMlnCnr,4,1,Haverhill,North Station
