date,time,trip_id,line_id,route_id,route_pattern_id,route_name,route_pattern_name,service_id,service_typicality,direction,from_station,to_station
2019-10-03,06:05:00,CR-Weekday-Spring-19-600,line-Needham,CR-Needham,CR-Needham-0-1,Needham Line,Needham Heights - South Station,CR-Wdy-Needham-Spr-19,1,1,Needham Heights,South Station
2019-10-03,06:40:00,CR-Weekday-Spring-19-602,line-Needham,CR-Needham,CR-Needham-0-1,Needham Line,Needham Heights - South Station,CR-Wdy-Needham-Spr-19,1,1,Needham Heights,South Station
2019-10-03,07:05:00,CR-Weekday-Spring-19-601,line-Needham,CR-Needham,CR-Needham-0-0,Needham Line,South Station - Needham Heights,CR-Wdy-Needham-Spr-19,1,0,South Station,Needham Heights
2019-10-03,07:30:00,CR-Weekday-Spring-19-604,line-Needham,CR-Needham,CR-Needham-0-1,Needham Line,Needham Heights - South Station,CR-Wdy-Needham-Spr-19,1,1,Needham Heights,South Station
2019-10-03,07:52:00,CR-Weekday-Spring-19-603,line-Needham,CR-Needham,CR-Needham-0-0,Needham Line,South Station - Needham Heights,CR-Wdy-Needham-Spr-19,1,0,South Station,Needham Heights
2019-10-03,08:01:00,CR-Weekday-Spring-19-606,line-Needham,CR-Needham,CR-Needham-0-1,Needham Line,Needham Heights - South Station,CR-Wdy-Needham-Spr-19,1,1,Needham Heights,South Station
2019-10-03,08:45:00,CR-Weekday-Spring-19-608,line-Needham,CR-Needham,CR-Needham-0-1,Needham Line,Needham Heights - South Station,CR-Wdy-Needham-Spr-19,1,1,Needham Heights,South Station
2019-10-03,09:05:00,CR-Weekday-Spring-19-605,line-Needham,CR-Needham,CR-Needham-0-0,Needham Line,South Station - Needham Heights,CR-Wdy-Needham-Spr-19,1,0,South Station,Needham Heights
2019-10-03,09:53:00,CR-Weekday-Spring-19-607,line-Needham,CR-Needham,CR-Needham-0-0,Needham Line,South Station - Needham Heights,CR-Wdy-Needham-Spr-19,1,0,South Station,Needham Heights
2019-10-03,10:05:00,CR-Weekday-Spring-19-610,line-Needham,CR-Needham,CR-Needham-0-1,Needham Line,Needham Heights - South Station,CR-Wdy-Needham-Spr-19,1,1,Needham Heights,South Station
2019-10-03,11:05:00,CR-Weekday-Spring-19-612,line-Needham,CR-Needham,CR-Needham-0-1,Needham Line,Needham Heights - South Station,CR-Wdy-Needham-Spr-19,1,1,Needham Heights,South Station
2019-10-03,11:50:00,CR-Weekday-Spring-19-609,line-Needham,CR-Needham,CR-Needham-0-0,Needham Line,South Station - Needham Heights,CR-Wdy-Needham-Spr-19,1,0,South Station,Needham Heights
2019-10-03,12:50:00,CR-Weekday-Spring-19-614,line-Needham,CR-Needham,CR-Needham-0-1,Needham Line,Needham Heights - South Station,CR-Wdy-Needham-Spr-19,1,1,Needham Heights,South Station
2019-10-03,13:52:00,CR-Weekday-Spring-19-611,line-Needham,CR-Needham,CR-Needham-0-0,Needham Line,South Station - Needham Heights,CR-Wdy-Needham-Spr-19,1,0,South Station,Needham Heights
2019-10-03,14:50:00,CR-Weekday-Spring-19-616,line-Needham,CR-Needham,CR-Needham-0-1,Needham Line,Needham Heights - South Station,CR-Wdy-Needham-Spr-19,1,1,Needham Heights,South Station
2019-10-03,15:00:00,CR-Weekday-Spring-19-613,line-Needham,CR-Needham,CR-Needham-0-0,Needham Line,South Station - Needham Heights,CR-Wdy-Needham-Spr-19,1,0,South Station,Needham Heights
2019-10-03,15:55:00,CR-Weekday-Spring-19-618,line-Needham,CR-Needham,CR-Needham-0-1,Needham Line,Needham Heights - South Station,CR-Wdy-Needham-Spr-19,1,1,Needham Heights,South Station
2019-10-03,16:05:00,CR-Weekday-Spring-19-615,line-Needham,CR-Needham,CR-Needham-0-0,Needham Line,South Station - Needham Heights,CR-Wdy-Needham-Spr-19,1,0,South Station,Needham Heights
2019-10-03,16:47:00,CR-Weekday-Spring-19-617,line-Needham,CR-Needham,CR-Needham-0-0,Needham Line,South Station - Needham Heights,CR-Wdy-Needham-Spr-19,1,0,South Station,Needham Heights
