date,time,trip_id,line_id,route_id,route_pattern_id,route_name,route_pattern_name,service_id,service_typicality,direction,from_station,to_station
2019-10-03,04:55:00,CR-Weekday-Spring-19-100,line-Newburyport,CR-Newburyport,CR-Newburyport-1-1,Newburyport/Rockport Line,Rockport - North Station,CR-Wdy-Newburyport-Spr-19,1,1,Rockport,North Station
2019-10-03,05:20:00,CR-Weekday-Spring-19-150,line-Newburyport,CR-Newburyport,CR-Newburyport-0-1,Newburyport/Rockport Line,Newburyport - North Station,CR-Wdy-Newburyport-Spr-19,1,1,Newburyport,North Station
2019-10-03,05:48:00,CR-Weekday-Spring-19-102,line-Newburyport,CR-Newburyport,CR-Newburyport-1-1,Newburyport/Rockport Line,Rockport - North Station,CR-Wdy-Newburyport-Spr-19,1,1,Rockport,North Station
2019-10-03,05:50:00,CR-Weekday-Spring-19-152,line-Newburyport,CR-Newburyport,CR-Newburyport-0-1,Newburyport/Rockport Line,Newburyport - North Station,CR-Wdy-Newburyport-Spr-19,1,1,Newburyport,North Station
2019-10-03,06:25:00,CR-Weekday-Spring-19-154,line-Newburyport,CR-Newburyport,CR-Newburyport-0-1,Newburyport/Rockport Line,Newburyport - North Station,CR-Wdy-Newburyport-Spr-19,1,1,Newburyport,North Station
2019-10-03,06:26:00,CR-Weekday-Spring-19-153,line-Newburyport,CR-Newburyport,CR-Newburyport-0-0,Newburyport/Rockport Line,North Station - Newburyport,CR-Wdy-Newburyport-Spr-19,1,0,North Station,Newburyport
2019-10-03,06:30:00,CR-Weekday-Spring-19-104,line-Newburyport,CR-Newburyport,CR-Newburyport-1-1,Newburyport/Rockport Line,Rockport - North Station,CR-Wdy-Newburyport-Spr-19,1,1,Rockport,North Station
2019-10-03,06:39:00,CR-Weekday-Spring-19-101,line-Newburyport,CR-Newburyport,CR-Newburyport-1-0,Newburyport/Rockport Line,North Station - Rockport,CR-Wdy-Newburyport-Spr-19,1,0,North Station,Rockport
2019-10-03,07:00:00,CR-Weekday-Spring-19-156,line-Newburyport,CR-Newburyport,CR-Newburyport-0-1,Newburyport/Rockport Line,Newburyport - North Station,CR-Wdy-Newburyport-Spr-19,1,1,Newburyport,North Station
2019-10-03,07:08:00,CR-Weekday-Spring-19-191,line-Newburyport,CR-Newburyport,CR-Newburyport-0-0,Newburyport/Rockport Line,North Station - Newburyport,CR-Wdy-Newburyport-Spr-19,1,0,North Station,Beverly
2019-10-03,07:10:00,CR-Weekday-Spring-19-106,line-Newburyport,CR-Newburyport,CR-Newburyport-1-1,Newburyport/Rockport Line,Rockport - North Station,CR-Wdy-Newburyport-Spr-19,1,1,Rockport,North Station
2019-10-03,07:30:00,CR-Weekday-Spring-19-158,line-Newburyport,CR-Newburyport,CR-Newburyport-0-1,Newburyport/Rockport Line,Newburyport - North Station,CR-Wdy-Newburyport-Spr-19,1,1,Newburyport,North Station
2019-10-03,07:40:00,CR-Weekday-Spring-19-155,line-Newburyport,CR-Newburyport,CR-Newburyport-0-0,Newburyport/Rockport Line,North Station - Newburyport,CR-Wdy-Newburyport-Spr-19,1,0,North Station,Newburyport
2019-10-03,07:50:00,CR-Weekday-Spring-19-103,line-Newburyport,CR-Newburyport,CR-Newburyport-1-0,Newburyport/Rockport Line,North Station - Rockport,CR-Wdy-Newburyport-Spr-19,1,0,North Station,Rockport
2019-10-03,07:55:00,CR-Weekday-Spring-19-160,line-Newburyport,CR-Newburyport,CR-Newburyport-0-1,Newburyport/Rockport Line,Newburyport - North Station,CR-Wdy-Newburyport-Spr-19,1,1,Newburyport,North Station
2019-10-03,08:10:00,CR-Weekday-Spring-19-157,line-Newburyport,CR-Newburyport,CR-Newburyport-0-0,Newburyport/Rockport Line,North Station - Newburyport,CR-Wdy-Newburyport-Spr-19,1,0,North Station,Newburyport
2019-10-03,08:15:00,CR-Weekday-Spring-19-108,line-Newburyport,CR-Newburyport,CR-Newburyport-1-1,Newburyport/Rockport Line,Rockport - North Station,CR-Wdy-Newburyport-Spr-19,1,1,Rockport,North Station
