date,time,trip_id,line_id,route_id,route_pattern_id,route_name,route_pattern_name,service_id,service_typicality,direction,from_station,to_station
2019-10-03,04:45:00,CR-Weekday-Spring-19-802,line-Providence,CR-Providence,CR-Providence-0-1,Providence/Stoughton Line,Wickford Junction - South Station,CR-Wdy-Providence-Spr-19,1,1,Wickford Junction,South Station
2019-10-03,04:58:00,CR-Weekday-Spring-19-8801,line-Providence,CR-Providence,CR-Providence-0-0,Providence/Stoughton Line,South Station - Wickford Junction,CR-Wdy-Providence-Spr-19,1,0,Providence,Wickford Junction
2019-10-03,05:00:00,CR-Weekday-Spring-19-800,line-Providence,CR-Providence,CR-Providence-0-1,Providence/Stoughton Line,Wickford Junction - South Station,CR-Wdy-Providence-Spr-19,1,1,Providence,South Station
2019-10-03,05:30:00,CR-Weekday-Spring-19-801,line-Providence,CR-Providence,CR-Providence-0-0,Providence/Stoughton Line,South Station - Wickford Junction,CR-Wdy-Providence-Spr-19,1,0,South Station,Wickford Junction
2019-10-03,05:45:00,CR-Weekday-Spring-19-806,line-Providence,CR-Providence,CR-Providence-0-1,Providence/Stoughton Line,Wickford Junction - South Station,CR-Wdy-Providence-Spr-19,1,1,Wickford Junction,South Station
2019-10-03,05:49:00,CR-Weekday-Spring-19-8803,line-Providence,CR-Providence,CR-Providence-0-0,Providence/Stoughton Line,South Station - Wickford Junction,CR-Wdy-Providence-Spr-19,1,0,Providence,Wickford Junction
2019-10-03,06:00:00,CR-Weekday-Spring-19-804,line-Providence,CR-Providence,CR-Providence-0-1,Providence/Stoughton Line,Wickford Junction - South Station,CR-Wdy-Providence-Spr-19,1,1,Providence,South Station
2019-10-03,06:20:00,CR-Weekday-Spring-19-900,line-Providence,CR-Providence,CR-Providence-1-1,Providence/Stoughton Line,Stoughton - South Station,CR-Wdy-Providence-Spr-19,1,1,Stoughton,South Station
2019-10-03,06:31:00,CR-Weekday-Spring-19-803,line-Providence,CR-Providence,CR-Providence-0-0,Providence/Stoughton Line,South Station - Wickford Junction,CR-Wdy-Providence-Spr-19,1,0,South Station,Providence
2019-10-03,06:35:00,CR-Weekday-Spring-19-808,line-Providence,CR-Providence,CR-Providence-0-1,Providence/Stoughton Line,Wickford Junction - South Station,CR-Wdy-Providence-Spr-19,1,1,Wickford Junction,South Station
2019-10-03,06:45:00,CR-Weekday-Spring-19-902,line-Providence,CR-Providence,CR-Providence-1-1,Providence/Stoughton Line,Stoughton - South Station,CR-Wdy-Providence-Spr-19,1,1,Stoughton,South Station
2019-10-03,06:57:00,CR-Weekday-Spring-19-903,line-Providence,CR-Providence,CR-Providence-1-0,Providence/Stoughton Line,South Station - Stoughton,CR-Wdy-Providence-Spr-19,1,0,South Station,Stoughton
2019-10-03,07:12:00,CR-Weekday-Spring-19-842,line-Providence,CR-Providence,CR-Providence-0-1,Providence/Stoughton Line,Wickford Junction - South Station,CR-Wdy-Providence-Spr-19,1,1,Attleboro,South Station
2019-10-03,07:25:00,CR-Weekday-Spring-19-805,line-Providence,CR-Providence,CR-Providence-0-0,Providence/Stoughton Line,South Station - Wickford Junction,CR-Wdy-Providence-Spr-19,1,0,South Station,Wickford Junction
2019-10-03,07:30:00,CR-Weekday-Spring-19-810,line-Providence,CR-Providence,CR-Providence-0-1,Providence/Stoughton Line,Wickford Junction - South Station,CR-Wdy-Providence-Spr-19,1,1,Providence,South Station
2019-10-03,07:35:00,CR-Weekday-Spring-19-905,line-Providence,CR-Providence,CR-Providence-1-0,Providence/Stoughton Line,South Station - Stoughton,CR-Wdy-Providence-Spr-19,1,0,South Station,Stoughton
2019-10-03,07:45:00,CR-Weekday-Spring-19-814,line-Providence,CR-Providence,CR-Providence-0-1,Providence/Stoughton Line,Wickford Junction - South Station,CR-Wdy-Providence-Spr-19,1,1,Wickford Junction,South Station
2019-10-03,07:50:00,CR-Weekday-Spring-19-812,line-Providence,CR-Providence,CR-Providence-0-1,Providence/Stoughton Line,Wickford Junction - South Station,CR-Wdy-Providence-Spr-19,1,1,Providence,South Station
2019-10-03,07:50:00,CR-Weekday-Spring-19-904,line-Providence,CR-Providence,CR-Providence-1-1,Providence/Stoughton Line,Stoughton - South Station,CR-Wdy-Providence-Spr-19,1,1,Stoughton,South Station
2019-10-03,08:23:00,CR-Weekday-Spring-19-907,line-Providence,CR-Providence,CR-Providence-1-0,Providence/Stoughton Line,South Station - Stoughton,CR-Wdy-Providence-Spr-19,1,0,South Station,Stoughton
2019-10-03,08:30:00,CR-Weekday-Spring-19-906,line-Providence,CR-Providence,CR-Providence-1-1,Providence/Stoughton Line,Stoughton - South Station,CR-Wdy-Providence-Spr-19,1,1,Stoughton,South Station
2019-10-03,09:15:00,CR-Weekday-Spring-19-908,line-Providence,CR-Providence,CR-Providence-1-1,Providence/Stoughton Line,Stoughton - South Station,CR-Wdy-Providence-Spr-19,1,1,Stoughton,South Station
2019-10-03,09:20:00,CR-Weekday-Spring-19-816,line-Providence,CR-Providence,CR-Providence-0-1,Providence/Stoughton Line,Wickford Junction - South Station,CR-Wdy-Providence-Spr-19,1,1,Wickford Junction,South Station
2019-10-03,09:35:00,CR-Weekday-Spring-19-807,line-Providence,CR-Providence,CR-Providence-0-0,Providence/Stoughton Line,South Station - Wickford Junction,CR-Wdy-Providence-Spr-19,1,0,South Station,Providence
2019-10-03,09:45:00,CR-Weekday-Spring-19-909,line-Providence,CR-Providence,CR-Providence-1-0,Providence/Stoughton Line,South Station - Stoughton,CR-Wdy-Providence-Spr-19,1,0,South Station,Stoughton
2019-10-03,10:25:00,CR-Weekday-Spring-19-809,line-Providence,CR-Providence,CR-Providence-0-0,Providence/Stoughton Line,South Station - Wickford Junction,CR-Wdy-Providence-Spr-19,1,0,South Station,Providence
2019-10-03,10:40:00,CR-Weekday-Spring-19-910,line-Providence,CR-Providence,CR-Providence-1-1,Providence/Stoughton Line,Stoughton - South Station,CR-Wdy-Providence-Spr-19,1,1,Stoughton,South Station
2019-10-03,11:15:00,CR-Weekday-Spring-19-818,line-Providence,CR-Providence,CR-Providence-0-1,Providence/Stoughton Line,Wickford Junction - South Station,CR-Wdy-Providence-Spr-19,1,1,Providence,South Station
2019-10-03,11:25:00,CR-Weekday-Spring-19-811,line-Providence,CR-Providence,CR-Providence-0-0,Providence/Stoughton Line,South Station - Wickford Junction,CR-Wdy-Providence-Spr-19,1,0,South Station,Wickford Junction
2019-10-03,13:11:00,CR-Weekday-Spring-19-820,line-Providence,CR-Providence,CR-Providence-0-1,Providence/Stoughton Line,Wickford Junction - South Station,CR-Wdy-Providence-Spr-19,1,1,Providence,South Station
2019-10-03,13:20:00,CR-Weekday-Spring-19-911,line-Providence,CR-Providence,CR-Providence-1-0,Providence/Stoughton Line,South Station - Stoughton,CR-Wdy-Providence-Spr-19,1,0,South Station,Stoughton
2019-10-03,13:25:00,CR-Weekday-Spring-19-822,line-Providence,CR-Providence,CR-Providence-0-1,Providence/Stoughton Line,Wickford Junction - South Station,CR-Wdy-Providence-Spr-19,1,1,Wickford Junction,South Station
2019-10-03,13:43:00,CR-Weekday-Spring-19-813,line-Providence,CR-Providence,CR-Providence-0-0,Providence/Stoughton Line,South Station - Wickford Junction,CR-Wdy-Providence-Spr-19,1,0,South Station,Providence
2019-10-03,14:15:00,CR-Weekday-Spring-19-912,line-Providence,CR-Providence,CR-Providence-1-1,Providence/Stoughton Line,Stoughton - South Station,CR-Wdy-Providence-Spr-19,1,1,Stoughton,South Station
2019-10-03,14:30:00,CR-Weekday-Spring-19-815,line-Providence,CR-Providence,CR-Providence-0-0,Providence/Stoughton Line,South Station - Wickford Junction,CR-Wdy-Providence-Spr-19,1,0,South Station,Providence
2019-10-03,15:05:00,CR-Weekday-Spring-19-824,line-Providence,CR-Providence,CR-Providence-0-1,Providence/Stoughton Line,Wickford Junction - South Station,CR-Wdy-Providence-Spr-19,1,1,Providence,South Station
2019-10-03,15:25:00,CR-Weekday-Spring-19-817,line-Providence,CR-Providence,CR-Providence-0-0,Providence/Stoughton Line,South Station - Wickford Junction,CR-Wdy-Providence-Spr-19,1,0,South Station,Wickford Junction
2019-10-03,15:35:00,CR-Weekday-Spring-19-913,line-Providence,CR-Providence,CR-Providence-1-0,Providence/Stoughton Line,South Station - Stoughton,CR-Wdy-Providence-Spr-19,1,0,South Station,Stoughton
2019-10-03,15:55:00,CR-Weekday-Spring-19-819,line-Providence,CR-Providence,CR-Providence-0-0,Providence/Stoughton Line,South Station - Wickford Junction,CR-Wdy-Providence-Spr-19,1,0,South Station,Providence
2019-10-03,16:05:00,CR-Weekday-Spring-19-826,line-Providence,CR-Providence,CR-Providence-0-1,Providence/Stoughton Line,Wickford Junction - South Station,CR-Wdy-Providence-Spr-19,1,1,Providence,South Station
2019-10-03,16:20:00,CR-Weekday-Spring-19-915,line-Providence,CR-Providence,CR-Providence-1-0,Providence/Stoughton Line,South Station - Stoughton,CR-Wdy-Providence-Spr-19,1,0,South Station,Stoughton
2019-10-03,16:30:00,CR-Weekday-Spring-19-821,line-Providence,CR-Providence,CR-Providence-0-0,Providence/Stoughton Line,South Station - Wickford Junction,CR-Wdy-Providence-Spr-19,1,0,South Station,Wickford Junction
