date,time,trip_id,line_id,route_id,route_pattern_id,route_name,route_pattern_name,service_id,service_typicality,direction,from_station,to_station
2019-10-03,04:40:00,CR-Weekday-Spring-19-501,line-Worcester,CR-Worcester,CR-Worcester-0-0,Framingham/Worcester Line,South Station - Worcester,CR-Wdy-Worcester-Spr-19,1,0,South Station,Worcester
2019-10-03,04:45:00,CR-Weekday-Spring-19-500,line-Worcester,CR-Worcester,CR-Worcester-0-1,Framingham/Worcester Line,Worcester - South Station,CR-Wdy-Worcester-Spr-19,1,1,Worcester,South Station
2019-10-03,05:15:00,CR-Weekday-Spring-19-502,line-Worcester,CR-Worcester,CR-Worcester-0-1,Framingham/Worcester Line,Worcester - South Station,CR-Wdy-Worcester-Spr-19,1,1,Worcester,South Station
2019-10-03,05:30:00,CR-Weekday-Spring-19-583,line-Worcester,CR-Worcester,CR-Worcester-0-0,Framingham/Worcester Line,South Station - Worcester,CR-Wdy-Worcester-Spr-19,1,0,South Station,Framingham
2019-10-03,05:50:00,CR-Weekday-Spring-19-504,line-Worcester,CR-Worcester,CR-Worcester-0-1,Framingham/Worcester Line,Worcester - South Station,CR-Wdy-Worcester-Spr-19,1,1,Worcester,South Station
2019-10-03,05:55:00,CR-Weekday-Spring-19-503,line-Worcester,CR-Worcester,CR-Worcester-0-0,Framingham/Worcester Line,South Station - Worcester,CR-Wdy-Worcester-Spr-19,1,0,South Station,Worcester
2019-10-03,06:04:00,CR-Weekday-Spring-19-582,line-Worcester,CR-Worcester,CR-Worcester-0-1,Framingham/Worcester Line,Worcester - South Station,CR-Wdy-Worcester-Spr-19,1,1,Framingham,South Station
2019-10-03,06:10:00,CR-Weekday-Spring-19-505,line-Worcester,CR-Worcester,CR-Worcester-0-0,Framingham/Worcester Line,South Station - Worcester,CR-Wdy-Worcester-Spr-19,1,0,South Station,Worcester
2019-10-03,06:22:00,CR-Weekday-Spring-19-506,line-Worcester,CR-Worcester,CR-Worcester-0-1,Framingham/Worcester Line,Worcester - South Station,CR-Wdy-Worcester-Spr-19,1,1,Worcester,South Station
2019-10-03,06:39:00,CR-Weekday-Spring-19-584,line-Worcester,CR-Worcester,CR-Worcester-0-1,Framingham/Worcester Line,Worcester - South Station,CR-Wdy-Worcester-Spr-19,1,1,Framingham,South Station
2019-10-03,06:48:00,CR-Weekday-Spring-19-587,line-Worcester,CR-Worcester,CR-Worcester-0-0,Framingham/Worcester Line,South Station - Worcester,CR-Wdy-Worcester-Spr-19,1,0,South Station,Framingham
2019-10-03,06:57:00,CR-Weekday-Spring-19-508,line-Worcester,CR-Worcester,CR-Worcester-0-1,Framingham/Worcester Line,Worcester - South Station,CR-Wdy-Worcester-Spr-19,1,1,Worcester,South Station
2019-10-03,07:15:00,CR-Weekday-Spring-19-586,line-Worcester,CR-Worcester,CR-Worcester-0-1,Framingham/Worcester Line,Worcester - South Station,CR-Wdy-Worcester-Spr-19,1,1,Framingham,South Station
